id,segcode,bmp,emp,year
54061,001010,201.089,207.682,2012
54062,001010,207.682,215.753,2012
54063,001010,215.753,216.054,2012
54064,001010,216.054,221.78,2012
54065,001010,221.78,222.317,2012
54066,001010,222.317,222.476,2012
54067,001010,222.476,229.349,2012
54068,001010,229.349,234.044,2012
54069,001010,234.044,234.721,2012
54070,001010,234.721,237.207,2012
54071,001010,237.207,239.3,2012
54072,001010,239.3,244.3,2012
54073,001010,244.3,245.214,2012
54074,001010,245.214,245.407,2012
54075,001010,245.407,253.281,2012
54076,001010,253.281,255.468,2012
54077,001010,255.468,261.035,2012
54078,001010,261.035,269.685,2012
54079,001010,269.685,275.65,2012
54080,001020,0,0.539,2012
54081,001020,0.539,2,2012
54082,001020,2,3.644,2012
54083,001020,3.644,4.116,2012
54084,001020,4.116,4.309,2012
54085,001021,3.644,4.062,2012
54086,001021,4.062,4.206,2012
54087,001030,0,1.08,2012
54088,001030,1.08,2.905,2012
54089,001030,2.905,3.178,2012
54090,001040,0,0.59,2012
54091,001050,0.221,1.425,2012
54092,001260,0,7,2012
54093,001260,7,7.4,2012
54094,001260,7.4,14,2012
54095,001260,14,14.808,2012
54096,001260,14.808,15.21,2012
54097,001260,15.21,21,2012
54098,001260,21,26.505,2012
54099,001260,26.505,35.9,2012
54100,001260,35.9,45.5,2012
54101,001260,45.5,53.3,2012
54102,001260,53.3,56,2012
54103,001260,56,57.7,2012
54104,001260,57.7,58.1,2012
54105,001260,58.1,61.3,2012
54106,001260,61.3,62.3,2012
54107,001260,62.3,62.85,2012
54108,001270,0,2.942,2012
54109,001270,4.075,4.605,2012
54110,001330,0,8,2012
54111,001330,8,16.184,2012
54112,001330,16.184,21.4,2012
54113,001330,21.4,21.54,2012
54114,001330,21.54,25,2012
54115,001330,25,30.87,2012
54116,001330,30.87,36,2012
54117,001330,36,39.75,2012
54118,001330,39.75,46.67,2012
54119,001330,46.67,54.8,2012
54120,001330,54.8,57.4,2012
54121,001330,57.4,58,2012
54122,001330,58,63.2,2012
54123,001330,63.2,63.517,2012
54124,001330,63.517,66.378,2012
54125,001330,66.378,69.378,2012
54126,001330,69.378,71.019,2012
54127,001330,71.019,72.6,2012
54128,001330,72.6,76.01,2012
54129,001330,76.01,80.2,2012
54130,001330,80.2,81.7,2012
54131,001330,81.7,81.9,2012
54132,001330,81.9,85.6,2012
54133,001330,85.6,89.3,2012
54134,001330,89.3,92.48,2012
54135,001330,92.48,92.789,2012
54136,001330,92.789,95.872,2012
54137,001330,95.872,97.115,2012
54138,001330,97.115,100.5,2012
54139,001330,100.5,106.5,2012
54140,001330,106.5,111.859,2012
54141,001330,111.859,119.5,2012
54142,001330,119.5,127.548,2012
54143,001330,127.548,128,2012
54144,001330,128,134.462,2012
54145,001330,134.462,135.148,2012
54146,001330,135.148,142.5,2012
54147,001330,142.5,143.4,2012
54148,001330,143.4,149.92,2012
54149,001330,149.92,150.08,2012
54150,001330,150.08,158.25,2012
54151,001330,158.25,159,2012
54152,001330,159,166.71,2012
54153,001330,166.71,167.396,2012
54154,001330,167.396,167.5,2012
54155,001330,167.5,173.5,2012
54156,001330,173.5,179.5,2012
54157,001330,179.5,181.21,2012
54158,001330,181.21,183.4,2012
54159,001330,183.4,188.5,2012
54160,001330,188.5,189.846,2012
54161,001330,189.846,196,2012
54162,001340,0,3.147,2012
54163,001340,3.147,3.61,2012
54164,001340,3.61,3.842,2012
54165,001340,3.842,4.338,2012
54166,001350,0,1,2012
54167,001360,0,0.447,2012
54168,001360,0.447,0.679,2012
54169,001360,0.679,0.997,2012
54170,001360,0.997,1.99,2012
54171,001360,1.99,2.605,2012
54172,001360,2.605,3.083,2012
54173,001360,3.083,3.581,2012
54174,001360,3.581,4.206,2012
54175,001360,4.206,4.459,2012
54176,001360,4.459,4.552,2012
54177,001360,4.552,4.856,2012
54178,001360,4.856,5.038,2012
54179,001360,5.038,5.318,2012
54180,001360,5.318,5.56,2012
54181,001361,0,0.447,2012
54182,001361,0.679,0.971,2012
54183,001361,0.971,1.997,2012
54184,001361,1.997,2.611,2012
54185,001361,2.611,3.101,2012
54186,001361,3.101,3.608,2012
54187,001361,4.459,4.552,2012
54188,001361,4.856,5.033,2012
54189,001361,5.318,5.56,2012
54190,001370,0,2.18,2012
54191,001370,2.18,2.4,2012
54192,001370,2.4,3.659,2012
54193,001370,3.659,4.244,2012
54194,001370,4.244,4.454,2012
54195,001370,4.454,4.802,2012
54196,001371,3.705,4.244,2012
54197,001380,2.323,3.92,2012
54198,001380,3.92,4.526,2012
54199,001380,4.526,5.1,2012
54200,001380,5.1,6.315,2012
54201,001380,6.315,6.589,2012
54202,001380,6.589,7.23,2012
54203,001390,0,3.8,2012
54204,001390,3.8,4.5,2012
54205,001390,4.5,5.4,2012
54206,001390,5.4,9,2012
54207,001390,9,11.6,2012
54208,001390,11.6,11.96,2012
54209,001390,11.96,12.3,2012
54210,001390,12.3,12.6,2012
54211,001390,12.6,13.927,2012
54212,001396,100,100.065,2012
54213,001539,323.36,326.567,2012
54214,001539,326.617,332,2012
54215,001539,332,337.668,2012
54216,001539,403.847,408.115,2012
54217,001539,408.115,412.978,2012
54218,001539,412.978,413.465,2012
54219,001539,413.465,418.7,2012
54220,001539,418.7,421.21,2012
54221,001539,421.21,423.27,2012
54222,001540,0,3.5,2012
54223,001540,3.5,3.8,2012
54224,001540,3.8,4.2,2012
54225,001540,4.2,4.9,2012
54226,001540,4.9,7,2012
54227,001540,7,13.26,2012
54228,001540,13.26,13.8,2012
54229,001540,13.8,16.7,2012
54230,001540,16.7,17.776,2012
54231,001540,17.776,18.1,2012
54232,001540,18.1,18.6,2012
54233,001540,18.6,20.226,2012
54234,001540,20.226,20.443,2012
54235,001540,22.71,28,2012
54236,001540,28,28.941,2012
54237,001540,29,33.345,2012
54238,001540,34.195,34.572,2012
54239,001540,34.642,37.4,2012
54240,001540,37.4,38.02,2012
54241,001540,38.02,38.433,2012
54242,001540,38.433,39.19,2012
54243,001540,39.19,45.44,2012
54244,001540,45.64,46.6,2012
54245,001540,46.6,47.6,2012
54246,001540,47.6,48.63,2012
54247,001540,49.12,49.6,2012
54248,001540,49.6,50.309,2012
54249,001540,50.309,54.58,2012
54250,001540,54.58,60.72,2012
54251,001540,60.72,61.078,2012
54252,001540,61.078,63.8,2012
54253,001540,64,65.037,2012
54254,001540,65.037,65.696,2012
54255,001540,65.696,66.04,2012
54256,001540,66.04,66.567,2012
54257,001540,66.574,66.953,2012
54258,001540,66.953,67.142,2012
54259,001540,67.142,68.932,2012
54260,001540,68.932,69.472,2012
54261,001540,69.472,71.762,2012
54262,001540,71.762,80.225,2012
54263,001540,80.225,81.52,2012
54264,001540,81.52,81.752,2012
54265,001540,81.752,82.215,2012
54266,001540,82.215,82.327,2012
54267,001540,83.872,85.74,2012
54268,001540,85.74,86.606,2012
54269,001540,91.176,94.759,2012
54270,001540,94.759,95,2012
54271,001540,95,97.29,2012
54272,001540,97.29,100,2012
54273,001540,100,102.5,2012
54274,001540,102.5,104.8,2012
54275,001540,104.8,108.9,2012
54276,001540,108.9,111.5,2012
54277,001540,111.5,112.977,2012
54278,001540,112.977,113.393,2012
54279,001540,113.393,113.77,2012
54280,001540,113.77,123.38,2012
54281,001540,123.38,126.8,2012
54282,001540,126.8,127.6,2012
54283,001540,127.6,129.5,2012
54284,001540,129.5,130.1,2012
54285,001540,130.1,130.93,2012
54286,001540,131.82,135.3,2012
54287,001540,135.3,136,2012
54288,001540,136,145.05,2012
54289,001540,145.05,154.1,2012
54290,001540,154.1,160.93,2012
54291,001540,160.93,170.726,2012
54292,001540,170.726,171.136,2012
54293,001540,171.136,171.926,2012
54294,001540,171.926,174.55,2012
54295,001540,174.55,176.6,2012
54296,001540,176.6,178.476,2012
54297,001540,178.503,181.354,2012
54298,001540,181.354,182.415,2012
54299,001540,182.415,188.5,2012
54300,001540,188.5,194.6,2012
54301,001540,194.6,196.1,2012
54302,001540,196.1,197.3,2012
54303,001540,197.3,197.63,2012
54304,001540,197.63,203.75,2012
54305,001540,203.75,210.035,2012
54306,001540,210.035,210.565,2012
54307,001540,210.565,213.6,2012
54308,001540,213.6,218.376,2012
54309,001540,218.376,219.2,2012
54310,001540,219.24,222.367,2012
54311,001540,222.367,223.347,2012
54312,001540,223.347,223.8,2012
54313,001540,223.8,231.467,2012
54314,001540,231.467,234.02,2012
54315,001540,234.02,234.338,2012
54316,001540,234.338,239.539,2012
54317,001540,239.539,242.01,2012
54318,001540,242.01,248.4,2012
54319,001540,248.4,249.4,2012
54320,001540,249.4,251.1,2012
54321,001540,251.1,251.639,2012
54322,001540,251.639,251.914,2012
54323,001540,251.914,252.485,2012
54324,001540,252.485,258.4,2012
54325,001540,258.4,259,2012
54326,001540,259,259.4,2012
54327,001540,259.4,260.051,2012
54328,001540,260.051,261.588,2012
54329,001540,271.787,272.406,2012
54330,001540,272.406,273.544,2012
54331,001540,273.735,273.9,2012
54332,001540,273.9,279.3,2012
54333,001540,279.3,279.8,2012
54334,001540,279.8,282.1,2012
54335,001540,282.1,282.6,2012
54336,001540,282.6,283.2,2012
54337,001540,283.2,283.7,2012
54338,001540,283.7,290.378,2012
54339,001540,290.378,291.4,2012
54340,001540,291.4,297.1,2012
54341,001540,297.1,300.09,2012
54342,001540,300.09,304.09,2012
54343,001540,304.09,304.715,2012
54344,001540,304.715,305.2,2012
54345,001540,305.2,309.75,2012
54346,001540,309.75,310.25,2012
54347,001540,310.25,311.92,2012
54348,001540,311.92,312.5,2012
54349,001540,312.5,317.41,2012
54350,001540,317.41,319.88,2012
54351,001540,323.19,323.36,2012
54352,001540,337.668,338.5,2012
54353,001540,338.5,339.3,2012
54354,001540,339.3,342.2,2012
54355,001540,342.2,342.943,2012
54356,001540,342.943,343.601,2012
54357,001540,343.601,344.026,2012
54358,001540,344.026,344.767,2012
54359,001540,345.48,345.575,2012
54360,001540,345.575,345.95,2012
54361,001540,345.95,346.604,2012
54362,001540,346.604,349.8,2012
54363,001540,349.8,350.9,2012
54364,001540,350.9,352.13,2012
54365,001540,352.13,354.655,2012
54366,001540,354.655,355.905,2012
54367,001540,355.905,356.538,2012
54368,001540,356.538,357.1,2012
54369,001540,357.1,359.4,2012
54370,001540,359.4,360.3,2012
54371,001540,360.3,362.452,2012
54372,001540,362.452,362.66,2012
54373,001540,362.66,362.937,2012
54374,001540,362.937,366.593,2012
54375,001540,366.593,371.605,2012
54376,001540,371.605,372.853,2012
54377,001540,372.929,373.14,2012
54378,001540,373.14,378.68,2012
54379,001540,378.68,382,2012
54380,001540,382,389.5,2012
54381,001540,389.5,390.2,2012
54382,001540,390.2,391.5,2012
54383,001540,391.5,392.65,2012
54384,001540,392.65,393.8,2012
54385,001540,393.8,395.45,2012
54386,001540,395.73,397.87,2012
54387,001540,397.87,398.596,2012
54388,001540,398.596,399.81,2012
54389,001540,399.81,400.57,2012
54390,001540,400.57,401.61,2012
54391,001540,401.61,402.2,2012
54392,001540,402.2,402.454,2012
54393,001540,423.27,424,2012
54394,001540,424,424.688,2012
54395,001540,424.688,426.5,2012
54396,001540,426.5,428.882,2012
54397,001540,428.882,430.266,2012
54398,001540,430.266,430.629,2012
54399,001540,430.629,431.07,2012
54400,001540,431.07,432.534,2012
54401,001540,432.534,436,2012
54402,001540,436,436.272,2012
54403,001540,436.272,438,2012
54404,001540,438,438.565,2012
54405,001540,438.565,440.732,2012
54406,001540,440.732,440.91,2012
54407,001540,446.821,448.304,2012
54408,001540,448.304,449.65,2012
54409,001540,449.65,451.135,2012
54410,001540,451.135,452,2012
54411,001540,452,452.8,2012
54412,001540,452.8,454,2012
54413,001540,454,458.58,2012
54414,001540,458.58,461.07,2012
54415,001540,461.07,463.742,2012
54416,001540,463.742,464.516,2012
54417,001540,464.516,465.767,2012
54418,001540,465.767,467.8,2012
54419,001540,467.8,469.75,2012
54420,001540,469.75,471.7,2012
54421,001540,471.7,472.862,2012
54422,001540,472.862,473.589,2012
54423,001540,474,474.242,2012
54424,001540,474.242,474.716,2012
54425,001540,474.716,475.075,2012
54426,001540,475.075,475.731,2012
54427,001540,476.001,477.01,2012
54428,001540,477.01,477.38,2012
54429,001540,477.38,481.56,2012
54430,001540,481.84,483.73,2012
54431,001540,484.374,486.362,2012
54432,001540,486.362,491.77,2012
54433,001540,491.77,493.208,2012
54434,001540,493.208,494.84,2012
54435,001540,494.84,496.92,2012
54436,001540,496.92,499.823,2012
54437,001540,499.823,504,2012
54438,001540,504,505.748,2012
54439,001540,505.748,506.195,2012
54440,001540,506.195,506.86,2012
54441,001540,506.86,507.495,2012
54442,001540,507.495,508,2012
54443,001540,508,508.365,2012
54444,001540,509.927,510.645,2012
54445,001540,510.645,511.08,2012
54446,001540,511.08,515.518,2012
54447,001540,515.518,517.85,2012
54448,001540,517.85,518.34,2012
54449,001540,519.25,521.862,2012
54450,001540,522.223,522.864,2012
54451,001540,525.971,527.284,2012
54452,001540,527.284,536,2012
54453,001540,536,536.689,2012
54454,001540,538.54,538.562,2012
54455,001541,33.345,34.253,2012
54456,001541,81.752,83.002,2012
54457,001543,82.215,82.337,2012
54458,001544,254.82,254.999,2012
54459,001544,254.999,255.19,2012
54460,001544,255.19,256.02,2012
54461,001544,256.02,256.24,2012
54462,001545,0,2.652,2012
54463,001545,2.652,4.021,2012
54464,001546,311.92,312.035,2012
54465,001546,312.035,312.673,2012
54466,001547,0.063,0.112,2012
54467,001547,0.112,0.5,2012
54468,001550,0,0.245,2012
54469,001550,0.245,0.757,2012
54470,001551,0.24,0.83,2012
54471,001552,323.05,323.19,2012
54472,001553,345.051,345.56,2012
54473,001580,0,5.58,2012
54474,001580,5.58,11.175,2012
54475,001590,0,0.527,2012
54476,001590,0.527,6.82,2012
54477,001590,6.82,9.669,2012
54478,001590,9.669,10.92,2012
54479,001590,10.92,11.65,2012
54480,001590,11.65,12.9,2012
54481,001590,12.9,14.95,2012
54482,001590,16.03,17.01,2012
54483,001590,17.83,19.01,2012
54484,001590,19.39,19.785,2012
54485,001590,19.785,20.7,2012
54486,001590,20.7,21.4,2012
54487,001590,21.4,21.812,2012
54488,001590,21.831,25.122,2012
54489,001590,26.65,28.515,2012
54490,001590,28.515,28.725,2012
54491,001590,64.35,64.54,2012
54492,001590,64.54,66.054,2012
54493,001590,66.054,66.765,2012
54494,001590,66.765,70.28,2012
54495,001590,70.28,70.9,2012
54496,001590,70.9,71.4,2012
54497,001590,71.4,80.184,2012
54498,001591,0,0.25,2012
54499,001610,29.74,29.887,2012
54500,001610,29.887,30.29,2012
54501,001610,30.29,31.61,2012
54502,001610,31.61,32.4,2012
54503,001610,32.4,38.25,2012
54504,001610,38.25,44.1,2012
54505,001610,44.1,49.5,2012
54506,001610,49.5,52,2012
54507,001610,52,54.695,2012
54508,001610,54.695,55.416,2012
54509,001610,55.416,55.66,2012
54510,001610,55.66,62.975,2012
54511,001611,44.6,44.83,2012
54512,001611,44.83,46.18,2012
54513,001620,0,0.652,2012
54514,001620,0.652,1.295,2012
54515,001620,1.295,10.25,2012
54516,001620,10.25,19,2012
54517,001620,19,25.8,2012
54518,001620,25.8,31.5,2012
54519,001620,31.5,37.23,2012
54520,001630,0,0.232,2012
54521,001630,0.232,0.65,2012
54522,001630,0.65,2,2012
54523,001630,2,7.72,2012
54524,001630,7.9,8.25,2012
54525,001630,8.25,11.39,2012
54526,001630,11.39,11.89,2012
54527,001630,11.89,17.55,2012
54528,001630,17.55,18.13,2012
54529,001630,18.13,19.38,2012
54530,001630,19.38,22.8,2012
54531,001630,22.8,30,2012
54532,001630,30,37.339,2012
54533,001630,37.339,38.46,2012
54534,001630,38.46,39.058,2012
54535,001640,0,7.916,2012
54536,001640,7.916,12.131,2012
54537,001640,12.131,13.2,2012
54538,001640,13.2,14.65,2012
54539,001640,14.65,15.44,2012
54540,001650,0,8.21,2012
54541,001650,8.21,9.46,2012
54542,001650,9.66,14.255,2012
54543,001660,0,5.5,2012
54544,001660,5.5,10.92,2012
54545,001660,10.92,11.151,2012
54546,001660,11.151,14.781,2012
54547,001660,20.28,20.682,2012
54548,001660,21,24,2012
54549,001660,24,31.9,2012
54550,001660,31.9,40,2012
54551,001660,40,40.391,2012
54552,001660,40.391,41.52,2012
54553,001660,41.52,44.5,2012
54554,001660,44.5,51.956,2012
54555,001660,51.956,58.5,2012
54556,001660,58.5,60.41,2012
54557,001660,60.41,62.3,2012
54558,001660,62.3,62.983,2012
54559,001660,63,68,2012
54560,001660,68,73.888,2012
54561,001661,4.705,5.64,2012
54562,001662,0.031,0.147,2012
54563,001662,3.687,3.834,2012
54564,001664,0,0.255,2012
54565,001664,0.255,0.938,2012
54566,001664,0.938,1.52,2012
54567,001665,3.847,3.957,2012
54568,001666,0,0.273,2012
54569,001666,0.273,0.728,2012
54570,001666,0.728,1,2012
54571,001670,60.89,62.133,2012
54572,001780,1.11,5.324,2012
54573,001780,5.335,5.72,2012
54574,001780,5.72,6.11,2012
54575,001780,6.11,7.38,2012
54576,001790,60.628,67.1,2012
54577,001790,67.1,74.3,2012
54578,001790,74.3,81.5,2012
54579,001790,81.5,82.328,2012
54580,001790,82.328,86.9,2012
54581,001790,86.9,91.81,2012
54582,001790,91.81,93.4,2012
54583,001790,93.4,94,2012
54584,001790,94,96.16,2012
54585,001790,96.16,96.373,2012
54586,001800,0,0.471,2012
54587,001800,0.471,0.712,2012
54588,001800,0.712,2.484,2012
54589,001800,2.502,3.368,2012
54590,001800,3.368,4.58,2012
54591,001800,4.58,4.906,2012
54592,001800,4.906,8.515,2012
54593,001800,8.515,9.276,2012
54594,001800,9.276,12.39,2012
54595,001800,12.39,13.66,2012
54596,001800,13.84,17.85,2012
54597,001800,18,23.5,2012
54598,001800,23.5,29,2012
54599,001800,39,39.514,2012
54600,001800,39.514,48.228,2012
54601,001800,48.228,53.289,2012
54602,001800,53.289,58.335,2012
54603,001800,58.335,67.573,2012
54604,001800,67.573,70.124,2012
54605,001800,70.124,73.254,2012
54606,001800,73.254,74.151,2012
54607,001800,74.151,74.379,2012
54608,001800,74.379,76.047,2012
54609,001800,76.047,76.62,2012
54610,001800,76.62,76.934,2012
54611,001800,76.934,78.042,2012
54612,001800,78.042,79.039,2012
54613,001800,79.039,81.207,2012
54614,001800,81.207,81.753,2012
54615,001800,81.753,82.693,2012
54616,001800,82.693,84.24,2012
54617,001800,84.24,85.142,2012
54618,001800,85.142,86.428,2012
54619,001800,87.321,87.425,2012
54620,001800,87.588,92.517,2012
54621,001800,92.517,95.331,2012
54622,001800,95.331,95.757,2012
54623,001800,95.757,103.24,2012
54624,001800,103.24,104.571,2012
54625,001800,104.571,111.569,2012
54626,001800,111.569,111.771,2012
54627,001800,111.771,113.832,2012
54628,001800,113.832,114.103,2012
54629,001800,114.103,116.894,2012
54630,001800,116.894,117.12,2012
54631,001800,117.12,117.68,2012
54632,001810,0,2.21,2012
54633,001810,2.21,2.943,2012
54634,001820,0,0.5,2012
54635,001820,0.5,1.13,2012
54636,001820,1.13,1.77,2012
54637,001820,1.77,2.445,2012
54638,001820,2.445,2.909,2012
54639,001820,2.909,3.476,2012
54640,001820,3.476,4.4,2012
54641,001820,4.42,4.55,2012
54642,001820,4.832,5.856,2012
54643,001820,5.856,6.316,2012
54644,001820,6.316,7.9,2012
54645,001820,7.9,10.73,2012
54646,001820,10.73,11.18,2012
54647,001820,11.18,11.61,2012
54648,001820,11.61,11.87,2012
54649,001820,11.87,17.9,2012
54650,001820,17.9,18.67,2012
54651,001820,18.67,18.925,2012
54652,001820,18.925,19.14,2012
54653,001830,0,5.51,2012
54654,001840,100,104.42,2012
54655,001850,0,9.9,2012
54656,001850,9.9,17.157,2012
54657,001850,17.157,20.286,2012
54658,001850,20.286,26.01,2012
54659,001850,26.01,35.055,2012
54660,001860,0,3.63,2012
54661,001860,3.63,7.26,2012
54662,001860,7.26,13.522,2012
54663,001870,0,1.609,2012
54664,001870,1.609,1.917,2012
54665,001870,2.145,2.331,2012
54666,001870,2.331,2.7,2012
54667,001870,2.7,3.293,2012
54668,001870,3.293,5.05,2012
54669,001870,5.05,10.63,2012
54670,001870,10.63,14.255,2012
54671,001870,14.255,14.572,2012
54672,001870,14.572,17.44,2012
54673,001870,17.52,21.845,2012
54674,001870,21.845,29,2012
54675,001870,29,36,2012
54676,001870,36,36.31,2012
54677,001870,36.31,43,2012
54678,001870,43.11,43.7,2012
54679,001870,43.7,53.589,2012
54680,001880,0,2.8,2012
54681,001880,2.8,11.686,2012
54682,001890,0,0.186,2012
54683,001890,0.186,0.23,2012
54684,001890,0.23,1.724,2012
54685,001890,1.724,2.164,2012
54686,001900,1.491,1.68,2012
54687,001900,1.68,1.935,2012
54688,001900,1.935,2.602,2012
54689,001900,2.602,2.831,2012
54690,001900,2.831,3.14,2012
54691,001901,2.831,3.29,2012
54692,001902,0.186,0.275,2012
54693,001902,0.275,0.381,2012
54694,001910,10.13,10.43,2012
54695,001910,10.43,14.901,2012
54696,001910,14.901,15.78,2012
54697,001910,15.78,20.2,2012
54698,001910,20.2,20.5,2012
54699,001910,20.5,21.14,2012
54700,001910,21.14,23.44,2012
54701,001910,23.44,23.94,2012
54702,001910,23.94,26.29,2012
54703,001910,26.29,26.671,2012
54704,001910,26.671,26.938,2012
54705,001910,26.938,27.462,2012
54706,001910,27.462,30.61,2012
54707,001910,30.61,31.55,2012
54708,001910,31.55,33.83,2012
54709,001910,33.83,34.7,2012
54710,001910,34.7,34.959,2012
54711,001910,35.004,38.133,2012
54712,001910,38.133,38.4,2012
54713,001910,38.4,39.73,2012
54714,001910,39.73,43.3,2012
54715,001910,43.3,43.963,2012
54716,001910,43.963,44.2,2012
54717,001910,44.2,46.1,2012
54718,001910,46.1,46.6,2012
54719,001910,46.6,50,2012
54720,001910,50,50.382,2012
54721,001910,50.382,51.568,2012
54722,001910,51.568,53,2012
54723,001910,53,54,2012
54724,001910,54,54.5,2012
54725,001910,54.5,55,2012
54726,001910,55,65.043,2012
54727,001910,65.043,65.682,2012
54728,001910,65.682,66.22,2012
54729,001910,66.22,66.946,2012
54730,001910,66.975,70.1,2012
54731,001910,70.1,75.75,2012
54732,001910,75.75,81.67,2012
54733,001910,81.67,87.605,2012
54734,001910,87.605,90.04,2012
54735,001910,90.066,98,2012
54736,001910,98,106,2012
54737,001910,106,113.8,2012
54738,001910,113.8,114.393,2012
54739,001910,114.393,121.307,2012
54740,001910,121.307,128.229,2012
54741,001910,128.229,135.75,2012
54742,001910,135.75,143.5,2012
54743,001910,143.5,144,2012
54744,001910,144,151.4,2012
54745,001910,151.4,160.4,2012
54746,001910,160.4,169.74,2012
54747,001910,169.74,170.7,2012
54748,001910,170.7,171.44,2012
54749,001910,171.44,172.21,2012
54750,001910,172.21,174.107,2012
54751,001910,174.107,174.41,2012
54752,001920,36.787,42.752,2012
54753,001920,42.752,48.861,2012
54754,001920,49.28,50.537,2012
54755,001920,50.537,53.346,2012
54756,001930,0,1.4,2012
54757,001930,1.4,1.9,2012
54758,001930,1.9,3.3,2012
54759,001930,3.3,3.8,2012
54760,001930,3.8,5.5,2012
54761,001930,5.5,6,2012
54762,001930,6,8,2012
54763,001930,8,13,2012
54764,001930,13,18.37,2012
54765,001930,18.37,18.678,2012
54766,001930,18.678,22.45,2012
54767,001930,22.45,23.143,2012
54768,001930,23.143,25.256,2012
54769,001930,25.256,28.526,2012
54770,001930,28.526,28.845,2012
54771,001930,28.845,29.052,2012
54772,001930,29.052,29.334,2012
54773,001930,29.334,29.54,2012
54774,001930,29.54,34.118,2012
54775,001930,34.177,35.164,2012
54776,001930,35.164,42.54,2012
54777,001940,0.02,7.7,2012
54778,001940,7.7,15.41,2012
54779,001940,15.41,15.89,2012
54780,001940,15.89,23.25,2012
54781,001940,23.25,27,2012
54782,001940,27,30.819,2012
54783,001940,30.819,31.077,2012
54784,001950,0,0.394,2012
54785,001950,0.394,8,2012
54786,001950,8,8.78,2012
54787,001950,8.78,13.748,2012
54788,001950,13.748,23.065,2012
54789,001960,0,1.12,2012
54790,001960,1.12,6.6,2012
54791,001960,6.6,11,2012
54792,001960,11,11.257,2012
54793,001960,11.257,18.711,2012
54794,001960,18.711,24,2012
54795,001960,24,24.3,2012
54796,001960,24.3,25.406,2012
54797,001960,25.406,25.84,2012
54798,001960,25.84,26.39,2012
54799,001961,0.03,0.55,2012
54800,001961,0.55,0.824,2012
54801,001970,0,8.782,2012
54802,001970,8.782,16.782,2012
54803,001970,16.782,23,2012
54804,001970,23,29.174,2012
54805,001970,29.174,38,2012
54806,001970,38,46.69,2012
54807,001970,46.75,47.733,2012
54808,001970,47.733,48.96,2012
54809,001970,48.96,49.515,2012
54810,001980,0.06,6.02,2012
54811,001980,6.02,7.08,2012
54812,001980,7.08,10,2012
54813,001980,10,14,2012
54814,001980,14,21,2012
54815,001980,21,28.2,2012
54816,001980,28.2,28.79,2012
54817,001990,0,2.289,2012
54818,001990,2.289,2.65,2012
54819,001990,2.65,3.838,2012
54820,001990,3.838,6.37,2012
54821,001990,6.37,6.861,2012
54822,001990,6.861,11.1,2012
54823,001990,11.1,11.6,2012
54824,001990,11.6,15.818,2012
54825,001990,15.818,16.154,2012
54826,001990,47.303,47.46,2012
54827,001990,47.46,50.089,2012
54828,001990,50.089,51.67,2012
54829,001990,51.67,54,2012
54830,001990,54,56.488,2012
54831,001990,56.488,57.179,2012
54832,001990,63.27,65.996,2012
54833,001990,65.996,66.7,2012
54834,001990,66.7,70,2012
54835,001990,70,71,2012
54836,001990,71,80.7,2012
54837,001990,80.7,81.164,2012
54838,001990,81.164,82,2012
54839,001990,82.06,82.764,2012
54840,001990,82.764,86,2012
54841,001990,86,86.6,2012
54842,001990,86.6,91.1,2012
