id,segcode,bmp,emp,direction,rutting,year
111341,001540,388.588,390.2,N,0.22,2001
111348,001540,398.596,401.61,N,0.26,2001
111357,001540,423.27,426.614,N,0.17,2001
111340,001540,382,388.588,N,0.34,2001
111350,001540,402.128,405.739,N,0.36,2001
111356,001540,417.461,420.67,N,0.32,2001
111349,001540,401.61,402.128,N,0.28,2001
111353,001540,413.5,414.8,N,0.34,2001
111347,001540,396.018,398.596,N,0.22,2001
111351,001540,405.739,411,N,0.3,2001
111359,001540,428.8,429.606,N,0.13,2001
111343,001540,391.5,392.65,N,0.19,2001
111344,001540,392.65,393.8,N,0.16,2001
111352,001540,411,413.5,N,0.27,2001
111346,001540,395.73,396.018,N,0.37,2001
111370,001540,443.404,444.866,N,0.14,2001
111376,001540,456.847,458.58,N,0.29,2001
111361,001540,429.882,430.629,N,0.16,2001
111360,001540,429.606,429.882,N,0.16,2001
111363,001540,431.07,432.786,A,0.33,2001
111375,001540,454,456.847,N,0.21,2001
111373,001540,452,452.8,N,0.41,2001
111377,001540,458.58,461.07,N,0.08,2001
111372,001540,451.08,452,N,0.55,2001
111378,001540,461.07,463.742,N,0.43,2001
111366,001540,435.805,436.272,A,0.23,2001
111362,001540,430.629,431.07,A,0.21,2001
111365,001540,433.796,435.805,A,0.29,2001
111379,001540,463.742,465.3,N,0.42,2001
111367,001540,436.272,438.925,N,0.33,2001
111374,001540,452.8,454,N,0.2,2001
111369,001540,441,443.404,N,0.14,2001
111364,001540,432.786,433.796,A,0.29,2001
111371,001540,444.866,451.08,N,0.13,2001
111368,001540,438.925,441,N,0.25,2001
111399,001540,486.55,491.771,N,0.07,2001
111391,001540,475,475.43,N,0.53,2001
111392,001540,475.43,475.731,N,0.22,2001
111380,001540,465.3,466.1,N,0.26,2001
111398,001540,484.374,486.55,N,0.17,2001
111390,001540,474.716,475,N,0.31,2001
111397,001540,481.84,483.73,N,0.19,2001
111384,001540,469.75,470.951,N,0.07,2001
111388,001540,474.001,474.242,N,0.22,2001
111383,001540,468.1,469.75,N,0.06,2001
111386,001540,471.743,472.862,N,0.14,2001
111394,001540,476,477.01,N,0.24,2001
111385,001540,470.951,471.743,N,0.12,2001
111393,001540,475.731,476,N,0.13,2001
111396,001540,477.38,481.56,N,0.24,2001
111381,001540,466.1,467.8,N,0.09,2001
111387,001540,472.862,474.001,N,0.12,2001
111382,001540,467.8,468.1,N,0.07,2001
111389,001540,474.242,474.716,N,0.2,2001
111395,001540,477.01,477.38,N,0.41,2001
111419,001541,33.345,34.23,N,0.07,2001
111400,001540,491.771,496.92,N,0.26,2001
111401,001540,496.92,499.823,N,0.23,2001
111408,001540,506.86,507.495,A,0.32,2001
111411,001540,510.645,511.08,N,0.06,2001
111412,001540,511.08,515.518,N,0.06,2001
111402,001540,499.823,502.734,N,0.22,2001
111413,001540,515.518,518.15,N,0.09,2001
111414,001540,518.15,518.34,N,0.1,2001
111410,001540,509.927,510.645,N,0.07,2001
111404,001540,504,505.017,N,0.27,2001
111417,001540,527,534.715,N,0.28,2001
111418,001540,534.715,538.562,N,0.28,2001
111406,001540,505.861,506.08,N,0.48,2001
111409,001540,507.495,508.365,N,0.16,2001
111415,001540,519.25,522.928,N,0.07,2001
111405,001540,505.017,505.861,N,0.32,2001
111416,001540,522.928,527,N,0.36,2001
111407,001540,506.08,506.86,N,0.5,2001
111403,001540,502.734,504,N,0.14,2001
111423,001544,254.82,254.999,N,0.24,2001
111439,001554,0,0.103,N,0.4,2001
111425,001544,255.19,255.903,N,0.27,2001
111428,001545,2.359,2.645,N,0.24,2001
111437,001553,345.051,345.349,N,0.33,2001
111421,001542,0,1.15,N,0.17,2001
111435,001551,0.245,0.83,N,0.19,2001
111438,001553,345.349,345.56,N,0.29,2001
111436,001552,323.05,323.19,N,0.09,2001
111420,001541,81.752,82.98,N,0.04,2001
111424,001544,254.999,255.19,N,0.15,2001
111434,001550,0.245,0.747,N,0.13,2001
111422,001543,82.215,82.337,N,0.14,2001
111427,001545,0.1,2.359,N,0.15,2001
111426,001544,255.903,256.24,N,0.19,2001
111433,001550,0,0.245,A,0.11,2001
111431,001546,311.92,312.78,N,0.11,2001
111429,001545,2.645,2.9,N,0.12,2001
111432,001547,0.063,0.5,N,0.14,2001
111430,001545,2.9,4.119,N,0.09,2001
111452,001590,21.831,25,N,0.34,2001
111447,001590,12.988,14.95,N,0.08,2001
111451,001590,19.9,21.812,N,0.34,2001
111457,001590,28.4,28.515,N,0.23,2001
111450,001590,19.39,19.9,N,0.19,2001
111454,001590,25.4,27.075,N,0.2,2001
111441,001580,0,6.325,N,0.17,2001
111445,001590,5.375,6.861,N,0.08,2001
111442,001580,6.325,11.185,N,0.15,2001
111455,001590,27.075,27.456,N,0.22,2001
111453,001590,25,25.4,N,0.28,2001
111449,001590,17.83,19.01,N,0.06,2001
111448,001590,16.03,17.01,N,0.08,2001
111443,001590,0,0.527,N,0.21,2001
111456,001590,27.456,28.4,N,0.25,2001
111459,001590,64.35,66.945,N,0.18,2001
111446,001590,6.861,12.988,N,0.29,2001
111444,001590,0.527,5.375,N,0.16,2001
111440,001554,0.103,0.229,N,0.33,2001
111458,001590,28.515,28.725,N,0.34,2001
111469,001610,36.456,38.8,N,0.07,2001
111461,001590,69.98,70.054,N,0.25,2001
111465,001591,0,0.25,N,0.46,2001
111467,001610,30.29,31.61,N,0.11,2001
111463,001590,71.251,76.65,N,0.15,2001
111472,001610,52.03,54.8,N,0.07,2001
111466,001610,29.74,30.29,N,0.27,2001
111460,001590,66.945,69.98,N,0.27,2001
111462,001590,70.054,71.251,N,0.14,2001
111478,001620,8.678,19,N,0.1,2001
111479,001620,19,22.478,N,0.08,2001
111464,001590,76.65,80.184,N,0.13,2001
111473,001610,54.8,63.118,N,0.04,2001
111477,001620,1.295,8.678,N,0.22,2001
111475,001620,0,0.45,N,0.26,2001
111471,001610,44.14,52,N,0.14,2001
111474,001611,44.6,46.18,N,0.11,2001
111470,001610,38.8,44.14,N,0.05,2001
111468,001610,31.61,36.456,N,0.08,2001
111476,001620,0.45,1.295,N,0.23,2001
111480,001620,22.478,25.8,N,0.05,2001
111495,001630,32.676,37.4,N,0.24,2001
111481,001620,25.8,28.63,N,0.16,2001
111496,001630,37.4,39.058,N,0.27,2001
111488,001630,7.29,7.72,N,0.15,2001
111485,001630,0.65,6.463,N,0.2,2001
111490,001630,8.25,14.393,N,0.19,2001
111498,001640,7.4,7.916,N,0.04,2001
