id,segcode,bmp,emp,dir,cracking,year
61451,002040,259.736,260.817,N,5,2000
61467,001260,35.853,38.236,A,4,2000
61473,001260,53.1,58.509,A,3.5,2000
61462,001260,14.818,17.579,A,4,2000
61472,001260,48.435,53.1,A,5,2000
61466,001260,31.97,35.853,A,4,2000
61479,001260,17.579,22.6,D,4,2000
61460,001260,0,8,A,3.4,2000
61477,001260,8,14.818,D,3,2000
61470,001260,40.38,45.4,A,3.7,2000
61461,001260,8,14.818,A,3,2000
61465,001260,26.7,31.97,A,3.8,2000
61463,001260,17.579,22.6,A,4,2000
61476,001260,0,8,D,3.4,2000
61478,001260,14.818,17.579,D,4,2000
61464,001260,22.6,26.7,A,4,2000
61468,001260,38.236,38.8,A,3,2000
61474,001260,58.509,61.066,A,2.4,2000
61469,001260,38.8,40.38,A,3.9,2000
61475,001260,61.066,62.85,A,2.4,2000
61471,001260,45.4,48.435,A,5,2000
61482,001260,31.97,35.853,D,4,2000
61494,001270,2.623,2.942,N,1.5,2000
61493,001270,2.072,2.623,N,1.6,2000
61485,001260,38.8,40.38,D,3.9,2000
61483,001260,35.853,38.236,D,4,2000
61481,001260,26.7,31.97,D,3.8,2000
61497,002332,100.259,101.87,N,4.5,2000
61499,001660,0,5.8,A,5,2000
61492,001270,0,2.072,N,3.5,2000
61489,001260,53.1,58.509,D,3.5,2000
61484,001260,38.236,38.8,D,3,2000
61488,001260,48.435,53.1,D,5,2000
61486,001260,40.38,45.4,D,3.7,2000
61498,015867,0,0.12,N,4.5,2000
61480,001260,22.6,26.7,D,4,2000
61495,001270,4.075,4.382,N,5,2000
61487,001260,45.4,48.435,D,5,2000
61490,001260,58.509,61.066,D,2.4,2000
61491,001260,61.066,62.85,D,2.4,2000
61496,002332,100,100.259,N,4,2000
61515,001660,45.548,49.414,A,4.8,2000
61518,001660,52,55.239,A,5,2000
61506,008339,16.588,20.28,A,3.5,2000
61516,001660,49.414,50.969,A,5,2000
61513,001660,44.1,44.888,A,5,2000
61507,001660,20.28,20.682,A,4,2000
61501,001660,8.189,9.785,A,5,2000
61509,001660,25.7,29.21,A,3.5,2000
61519,001660,55.239,58.461,A,5,2000
61503,001660,10.92,13.569,A,5,2000
61517,001660,50.969,52,A,5,2000
61505,008339,14.781,16.588,A,3.8,2000
61504,001660,13.569,14.781,A,5,2000
61502,001660,9.785,10.92,A,5,2000
61511,001660,33,40.391,A,2.6,2000
61512,001660,40.391,44.1,A,5,2000
61500,001660,5.8,8.189,A,5,2000
61514,001660,44.888,45.548,A,5,2000
61510,001660,29.21,33,A,2.8,2000
61508,001660,21,25.7,A,4,2000
