id,route,milepost_from,segment_from,milepost_to,segment_to,effective_date,jurisdiction_left,jurisdiction_left_code,jurisdiction_right,jurisdiction_right_code,comments,user_update,year
86912,,100,029688,100.232,029688,12/31/2009,Nampa Hd #1,1250,Nampa Hd #1,1250,,SYSTEM,2014
86913,,100,029689,100.279,029689,12/31/2009,Nampa Hd #1,1250,Nampa Hd #1,1250,,SYSTEM,2014
86914,,100,029691,100.35,029691,12/31/2002,Mountain Home Hd,1230,Mountain Home Hd,1230,,SYSTEM,2014
86915,,100,029692,100.25,029692,12/31/2002,Mountain Home Hd,1230,Mountain Home Hd,1230,,SYSTEM,2014
86916,,100,029693,100.7,029693,12/31/2002,Unclaimed,1510,Unclaimed,1510,,SYSTEM,2014
86917,,100,029694,101.1,029694,12/31/2002,Unclaimed,1510,Unclaimed,1510,,SYSTEM,2014
86918,,100,029696,100.142,029696,12/31/2001,Adams County,20,Adams County,20,,SYSTEM,2014
86919,,100,029697,100.265,029697,12/31/2001,Adams County,20,Adams County,20,,SYSTEM,2014
86920,,100,029698,101.25,029698,12/31/2001,Adams County,20,Adams County,20,,SYSTEM,2014
86921,,100,029700,100.113,029700,12/31/2001,Adams County,20,Adams County,20,,SYSTEM,2014
86922,,100,029701,100.719,029701,12/31/2001,Adams County,20,Adams County,20,,SYSTEM,2014
86923,,100,029702,100.25,029702,12/31/2001,Wendell Hd,1440,Wendell Hd,1440,,SYSTEM,2014
86924,,100,029703,100.391,029703,12/10/2007,Twinfalls Hd,1410,Twinfalls Hd,1410,,SYSTEM,2014
86925,,100,029704,100.05,029704,12/31/2001,Twinfalls Hd,1410,Twinfalls Hd,1410,,SYSTEM,2014
86926,,100,029705,100.2,029705,12/31/2001,Twinfalls Hd,1410,Twinfalls Hd,1410,,SYSTEM,2014
86927,,100,029706,100.05,029706,12/31/2001,Twinfalls Hd,1410,Twinfalls Hd,1410,,SYSTEM,2014
86928,,100,029707,100.25,029707,12/31/2001,Twinfalls Hd,1410,Twinfalls Hd,1410,,SYSTEM,2014
86929,,100,029708,100.472,029708,12/31/2007,Twinfalls Hd,1410,Twinfalls Hd,1410,,SYSTEM,2014
86930,,100,029710,100.928,029710,12/31/2001,Lakes Hd,1190,Lakes Hd,1190,,SYSTEM,2014
86931,,100,029711,100.369,029711,12/31/2001,Lakes Hd,1190,Lakes Hd,1190,,SYSTEM,2014
86932,,100,029712,100.582,029712,12/31/2002,Lakes Hd,1190,Lakes Hd,1190,,SYSTEM,2014
86933,,100,029713,100.3,029713,12/31/2001,Post Falls Hd,1310,Post Falls Hd,1310,,SYSTEM,2014
86934,,100,029714,100.14,029714,12/31/2001,Post Falls Hd,1310,Post Falls Hd,1310,,SYSTEM,2014
86935,,100,029715,100.29,029715,12/31/2001,Post Falls Hd,1310,Post Falls Hd,1310,,SYSTEM,2014
86936,,100,029716,100.43,029716,12/31/2001,Post Falls Hd,1310,Post Falls Hd,1310,,SYSTEM,2014
86937,,100,029717,100.27,029717,12/31/2001,Post Falls Hd,1310,Post Falls Hd,1310,,SYSTEM,2014
86938,,100,029718,100.04,029718,12/31/2001,Post Falls Hd,1310,Post Falls Hd,1310,,SYSTEM,2014
86939,,100,029719,100.05,029719,12/31/2001,Post Falls Hd,1310,Post Falls Hd,1310,,SYSTEM,2014
86940,,100,029720,101.03,029720,12/31/2001,Post Falls Hd,1310,Post Falls Hd,1310,,SYSTEM,2014
86941,,100,029721,100.05,029721,12/31/2001,Post Falls Hd,1310,Post Falls Hd,1310,,SYSTEM,2014
86942,,100,029722,100.346,029722,10/6/2014,Bonner County,90,Bonner County,90,,SYSTEM,2014
86943,,100,029723,100.14,029723,12/31/2001,Bear Lake County,40,Bear Lake County,40,,SYSTEM,2014
86944,,100,029724,100.14,029724,12/31/2001,Bear Lake County,40,Bear Lake County,40,,SYSTEM,2014
86945,,100,029725,100.3,029725,12/31/2001,Bear Lake County,40,Bear Lake County,40,,SYSTEM,2014
86946,,100,029727,100.115,029727,12/31/2001,Bannock County,30,Bannock County,30,,SYSTEM,2014
86947,,100,029728,100.115,029728,12/31/2001,Bannock County,30,Bannock County,30,,SYSTEM,2014
86948,,100,029729,100.11,029729,12/31/2001,Bannock County,30,Bannock County,30,,SYSTEM,2014
86949,,100,029730,100.496,029730,5/20/2013,Bannock County,30,Bannock County,30,,SYSTEM,2014
86950,,100,029731,100.53,029731,12/31/2002,Bannock County,30,Bannock County,30,,SYSTEM,2014
86951,,100,029732,100.45,029732,12/31/2001,Bingham County,60,Bingham County,60,,SYSTEM,2014
86952,,100,029733,100.05,029733,12/31/2001,Bingham County,60,Bingham County,60,,SYSTEM,2014
86953,,100,029734,100.38,029734,12/31/2001,Bingham County,60,Bingham County,60,,SYSTEM,2014
86954,,100,029735,100.25,029735,12/31/2001,Bingham County,60,Bingham County,60,,SYSTEM,2014
86955,,100,029736,100.43,029736,12/31/2001,Bingham County,60,Bingham County,60,,SYSTEM,2014
86956,,100,029737,100.1,029737,12/31/2001,Bingham County,60,Bingham County,60,,SYSTEM,2014
86957,,100,029738,100.218,029738,9/8/2009,Bingham County,60,Bingham County,60,,SYSTEM,2014
86958,,100,029739,100.042,029739,5/7/2002,Murtaugh Hd,1240,Murtaugh Hd,1240,,SYSTEM,2014
86959,,100,029740,100.768,029740,12/31/2002,Fremont County,220,Fremont County,220,,SYSTEM,2014
86960,,100,029741,102.256,029741,5/20/2013,Fremont County,220,Fremont County,220,,SYSTEM,2014
86961,,100,029742,101.66,029742,5/20/2013,Fremont County,220,Fremont County,220,,SYSTEM,2014
86962,,100,029743,101.1,029743,12/31/2002,Fremont County,220,Fremont County,220,,SYSTEM,2014
86963,,100,029744,101.692,029744,5/20/2013,Fremont County,220,Fremont County,220,,SYSTEM,2014
86964,,100,029745,100.7,029745,12/31/2002,Fremont County,220,Fremont County,220,,SYSTEM,2014
86965,,100,029746,101,029746,12/31/2002,Fremont County,220,Fremont County,220,,SYSTEM,2014
86966,,100,029747,100.91,029747,1/1/2010,Fremont County,220,Fremont County,220,,SYSTEM,2014
86967,,100,029748,106.317,029748,5/20/2013,Fremont County,220,Fremont County,220,,SYSTEM,2014
86968,,100,029749,105.7,029749,12/31/2002,Fremont County,220,Fremont County,220,,SYSTEM,2014
86969,,100,029750,101,029750,12/31/2002,Fremont County,220,Fremont County,220,,SYSTEM,2014
86970,,100,029751,100.3,029751,12/31/2002,Fremont County,220,Fremont County,220,,SYSTEM,2014
86971,,100,029752,100.3,029752,12/31/2002,Fremont County,220,Fremont County,220,,SYSTEM,2014
86972,,100,030344,100.521,030344,2/5/1997,North Latah Hd,1270,North Latah Hd,1270,,SYSTEM,2014
