id,route,milepost_from,segment_from,milepost_to,segment_to,effective_date,jurisdiction_left,jurisdiction_left_code,jurisdiction_right,jurisdiction_right_code,comments,user_update,year
54503,,0.84,008220,2.42,008220,1/1/1978,Clark County,170,Clark County,170,,SYSTEM,2013
54504,,0.864,008530,0.883,008530,1/1/1978,Smelterville,3230,Smelterville,3230,,SYSTEM,2013
54505,,0.865,007330,0.895,007330,10/15/2010,"Payette, City of",2940,"Payette, City of",2940,,SYSTEM,2013
54506,,0.869,005490,4.236,005490,10/1/2010,Mountain Home Hd,1230,Mountain Home Hd,1230,,SYSTEM,2013
54507,,0.884,003630,1.307,003630,10/2/1998,Bingham County,60,Bingham County,60,,SYSTEM,2013
54508,,0.885,001900,1.491,001900,10/25/1979,Lewiston,2550,Lewiston,2550,,SYSTEM,2013
54509,,0.89,004545,1.58,004545,12/22/1981,Nampa,2780,Nampa,2780,,SYSTEM,2013
54510,,0.891,004610,1.02,004610,7/1/2010,Caldwell,1740,Caldwell,1740,,SYSTEM,2013
54511,,0.895,007330,0.965,007330,10/15/2010,Payette County,380,Payette County,380,,SYSTEM,2013
54512,,0.914,006408,1.231,006408,9/1/2006,Moscow,2720,Moscow,2720,,SYSTEM,2013
54513,,0.926,004566,3.093,004566,9/1/2006,Nampa Hd #1,1250,Nampa Hd #1,1250,,SYSTEM,2013
54514,,0.936,003330,2.118,003330,12/1/2010,Bannock County,30,Bannock County,30,,SYSTEM,2013
54515,,0.936,006620,1.312,006620,1/1/2010,Rexburg,3080,Rexburg,3080,,SYSTEM,2013
54516,,0.94,004635,1.542,004635,2/1/2011,Caldwell,1740,Caldwell,1740,,SYSTEM,2013
54517,,0.941,005400,1.025,005400,10/1/2010,Mountain Home,2730,Mountain Home,2730,,SYSTEM,2013
54518,,0.949,002734,1.148,002734,9/1/2009,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54519,,0.954,005920,1.194,005920,1/1/2010,Post Falls Hd,1310,Post Falls Hd,1310,,SYSTEM,2013
54520,,0.956,003180,6.805,003180,12/1/2010,Bannock County,30,Bannock County,30,,SYSTEM,2013
54521,,0.96,005080,1.357,005080,10/19/2007,Oakley,2840,Oakley,2840,,SYSTEM,2013
54522,,0.961,004760,1.465,004760,8/22/2006,Nampa,2780,Nampa,2780,,SYSTEM,2013
54523,,0.965,007330,1.699,007330,10/15/2010,"Payette, City of",2940,"Payette, City of",2940,,SYSTEM,2013
54524,,0.968,A05960,0.99,A05960,9/1/2011,Post Falls,3020,Post Falls,3020,,SYSTEM,2013
54525,,0.968,D05960,0.989,D05960,9/1/2011,Post Falls,3020,Post Falls,3020,,SYSTEM,2013
54526,,0.97,008050,3.65,008050,1/1/1978,Oneida County,360,Oneida County,360,,SYSTEM,2013
54527,,0.99,002159,2.865,002159,2/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54528,,0.99,003960,2.406,003960,11/1/2010,Idaho Falls,2370,Idaho Falls,2370,,SYSTEM,2013
54529,,0.991,004130,1.386,004130,12/1/2010,Bonneville County,100,Bonneville County,100,,SYSTEM,2013
54530,,0.994,004556,2.524,004556,1/1/2011,Nampa,2780,Nampa,2780,,SYSTEM,2013
54531,,0.996,006410,1.45,006410,7/28/2009,Moscow,2720,Moscow,2720,,SYSTEM,2013
54532,,0.997,D05960,1.005,D05960,9/1/2011,Post Falls,3020,Post Falls,3020,,SYSTEM,2013
54533,,0.998,A05960,1.006,A05960,9/1/2011,Post Falls,3020,Post Falls,3020,,SYSTEM,2013
54534,,1,000101,1.045,000101,3/1/1983,Rupert,3150,Rupert,3150,,SYSTEM,2013
54535,,1,000103,2.348,000103,9/1/2010,Rupert,3150,Rupert,3150,,SYSTEM,2013
54536,,1,000104,1.966,000104,9/1/2004,Minidoka Hd,1220,Minidoka Hd,1220,,SYSTEM,2013
54537,,1,000107,1.435,000107,9/1/2004,Rupert,3150,Rupert,3150,,SYSTEM,2013
54538,,1,000109,1.457,000109,9/1/2010,Rupert,3150,Rupert,3150,,SYSTEM,2013
54539,,1,001350,1.35,001350,1/1/1978,Inkom,2380,Inkom,2380,,SYSTEM,2013
54540,,1,001666,1.12,001666,1/1/1978,Mullan,2760,Mullan,2760,,SYSTEM,2013
54541,,1,002139,1.616,002139,2/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54542,,1,002149,3.655,002149,2/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54543,,1,002155,1.911,002155,2/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54544,,1,002158,1.852,002158,2/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54545,,1,002162,1.334,002162,3/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54546,,1,002163,1.441,002163,3/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54547,,1,002164,1.385,002164,3/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54548,,1,002166,1.385,002166,3/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54549,,1,002167,1.258,002167,3/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54550,,1,002168,1.049,002168,3/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54551,,1,002717,1.57,002717,6/26/2007,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54552,,1,002718,1.435,002718,4/1/1983,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54553,,1,002721,1.98,002721,3/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54554,,1,002726,2.265,002726,3/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54555,,1,002731,1.095,002731,6/26/2007,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54556,,1,002735,1.17,002735,4/1/1983,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54557,,1,002931,1.064,002931,3/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54558,,1,002981,1.104,002981,8/25/1992,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54559,,1,003011,1.115,003011,3/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54560,,1,004230,8.019,004230,8/25/2008,Jefferson County,260,Jefferson County,260,,SYSTEM,2013
54561,,1,007250,2,007250,1/1/1978,Payette County,380,Payette County,380,,SYSTEM,2013
54562,,1,008190,9.643,008190,1/1/1978,Jefferson County,260,Jefferson County,260,,SYSTEM,2013
54563,,1.003,003614,1.25,003614,9/1/2006,Bingham County,60,Bingham County,60,,SYSTEM,2013
54564,,1.003,004528,2.259,004528,1/1/2011,Caldwell,1740,Caldwell,1740,,SYSTEM,2013
54565,,1.004,003530,5.58,003530,7/1/2010,Bingham County,60,Bingham County,60,,SYSTEM,2013
54566,,1.004,004523,1.69,004523,1/1/2011,Canyon Hd #4,890,Canyon Hd #4,890,,SYSTEM,2013
54567,,1.006,004570,4.158,004570,1/1/2011,Caldwell,1740,Caldwell,1740,,SYSTEM,2013
54568,,1.006,004875,1.256,004875,1/1/2011,Canyon Hd #4,890,Canyon Hd #4,890,,SYSTEM,2013
54569,,1.012,007280,4.685,007280,10/15/2010,Payette County,380,Payette County,380,,SYSTEM,2013
54570,,1.013,D05960,1.028,D05960,9/1/2011,Post Falls,3020,Post Falls,3020,,SYSTEM,2013
54571,,1.014,A05960,1.03,A05960,9/1/2011,Post Falls,3020,Post Falls,3020,,SYSTEM,2013
54572,,1.02,004526,5,004526,12/22/1981,Canyon Hd #4,890,Canyon Hd #4,890,,SYSTEM,2013
54573,,1.02,004610,2.516,004610,7/1/2010,Canyon Hd #4,890,Canyon Hd #4,890,,SYSTEM,2013
54574,,1.024,005960,2.006,005960,9/1/2011,Post Falls,3020,Post Falls,3020,,SYSTEM,2013
54575,,1.025,005400,1.155,005400,10/1/2010,Mountain Home Hd,1230,Mountain Home Hd,1230,,SYSTEM,2013
54576,,1.029,005070,10.903,005070,1/1/2011,Oakley Hd,1290,Oakley Hd,1290,,SYSTEM,2013
54577,,1.04,007740,2.78,007740,11/1/2010,"Twin Falls, City of",3370,"Twin Falls, City of",3370,,SYSTEM,2013
54578,,1.043,003930,1.214,003930,6/29/1998,Ucon,3380,Bonneville County,100,,SYSTEM,2013
54579,,1.043,005900,3.204,005900,1/1/2010,Post Falls,3020,Post Falls,3020,,SYSTEM,2013
54580,,1.045,000101,1.573,000101,3/1/1983,Rupert,3150,Minidoka Hd,1220,,SYSTEM,2013
54581,,1.049,004557,1.433,004557,2/1/2011,Nampa,2780,Nampa,2780,,SYSTEM,2013
54582,,1.05,002138,1.143,002138,2/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54583,,1.05,025326,1.111,025326,7/1/2010,Blackfoot,1650,Blackfoot,1650,,SYSTEM,2013
54584,,1.054,005170,11.057,005170,7/1/2010,Minidoka Hd,1220,Minidoka Hd,1220,,SYSTEM,2013
54585,,1.06,008210,3.06,008210,1/1/1978,Unknown,1520,Unknown,1520,,SYSTEM,2013
54586,,1.067,006060,1.193,006060,9/1/2010,Post Falls Hd,1310,Post Falls Hd,1310,,SYSTEM,2013
54587,,1.068,002600,3.051,002600,8/22/2006,Nampa Hd #1,1250,Nampa Hd #1,1250,,SYSTEM,2013
54588,,1.088,004560,2.233,004560,1/1/2011,Caldwell,1740,Caldwell,1740,,SYSTEM,2013
54589,,1.09,002753,3.043,002753,6/1/2010,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54590,,1.095,002731,1.283,002731,6/26/2007,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54591,,1.102,007260,3.939,007260,10/15/2010,Highway District #1,1110,Highway District #1,1110,,SYSTEM,2013
54592,,1.11,025247,1.921,025247,1/1/2011,Nampa,2780,Nampa,2780,,SYSTEM,2013
54593,,1.12,001666,1.42,001666,1/1/1978,Shoshone County,400,Shoshone County,400,,SYSTEM,2013
54594,,1.12,003620,1.662,003620,7/1/2010,Blackfoot,1650,Blackfoot,1650,,SYSTEM,2013
54595,,1.128,004521,1.441,004521,5/1/2010,Caldwell,1740,Caldwell,1740,,SYSTEM,2013
54596,,1.139,008090,1.232,008090,10/13/2011,Bannock County,30,Bannock County,30,,SYSTEM,2013
54597,,1.142,003130,1.46,003130,7/30/2008,Bannock County,30,Bannock County,30,,SYSTEM,2013
54598,,1.147,004780,1.234,004780,2/1/2011,Nampa,2780,Nampa,2780,,SYSTEM,2013
54599,,1.148,003230,1.696,003230,12/1/2010,Bannock County,30,Pocatello,3000,,SYSTEM,2013
54600,,1.148,003520,3.139,003520,7/1/2010,Bingham County,60,Bingham County,60,,SYSTEM,2013
54601,,1.15,001542,2.326,001542,8/1/1987,"Payette, City of",2940,"Payette, City of",2940,,SYSTEM,2013
54602,,1.154,004080,8.2,004080,11/1/2010,Bonneville County,100,Bonneville County,100,,SYSTEM,2013
54603,,1.155,005400,1.363,005400,10/1/2010,Mountain Home,2730,Mountain Home,2730,,SYSTEM,2013
54604,,1.164,004558,1.213,004558,1/1/2011,Nampa,2780,Nampa,2780,,SYSTEM,2013
54605,,1.167,005710,3.341,005710,12/30/2009,Greencreek Hd,1090,Greencreek Hd,1090,,SYSTEM,2013
54606,,1.176,003640,1.871,003640,9/1/2004,Blackfoot,1650,Blackfoot,1650,,SYSTEM,2013
54607,,1.187,005830,6.398,005830,8/1/2011,Jefferson County,260,Jefferson County,260,,SYSTEM,2013
54608,,1.193,006060,1.45,006060,9/1/2010,Post Falls,3020,Post Falls,3020,,SYSTEM,2013
54609,,1.195,002138,1.664,002138,2/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54610,,1.2,005720,3.403,005720,12/20/2009,Cottonwood Hd,930,Cottonwood Hd,930,,SYSTEM,2013
54611,,1.203,002734,1.374,002734,9/1/2009,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54612,,1.213,004558,1.554,004558,1/1/2011,Nampa Hd #1,1250,Nampa Hd #1,1250,,SYSTEM,2013
54613,,1.214,003930,5.207,003930,6/29/1998,Bonneville County,100,Bonneville County,100,,SYSTEM,2013
54614,,1.218,001661,4.705,001661,9/1/2010,Post Falls,3020,Post Falls,3020,,SYSTEM,2013
54615,,1.222,003650,1.469,003650,9/1/2006,Blackfoot,1650,Blackfoot,1650,,SYSTEM,2013
54616,,1.249,000106,2.23,000106,5/21/2003,Minidoka Hd,1220,Minidoka Hd,1220,,SYSTEM,2013
54617,,1.25,003614,1.765,003614,9/1/2006,Bingham County,60,Bingham County,60,,SYSTEM,2013
54618,,1.25,007410,2.253,007410,9/8/2011,Fort Hall Indian Res,600,Fort Hall Indian Res,600,,SYSTEM,2013
54619,,1.25,007550,1.48,007550,4/22/1982,Buhl,1710,Buhl,1710,,SYSTEM,2013
54620,,1.256,004875,1.502,004875,1/1/2011,Caldwell,1740,Caldwell,1740,,SYSTEM,2013
54621,,1.259,007860,21.341,007860,6/15/2009,Washington County,440,Washington County,440,,SYSTEM,2013
54622,,1.26,007830,2.015,007830,1/19/2009,Donnelly,1950,Donnelly,1950,,SYSTEM,2013
54623,,1.26,008640,1.36,008640,1/1/1978,Shoshone County,400,Shoshone County,400,,SYSTEM,2013
54624,,1.261,002981,1.573,002981,3/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54625,,1.27,004620,1.384,004620,9/1/2006,Canyon Hd #4,890,Canyon Hd #4,890,,SYSTEM,2013
54626,,1.27,005920,6.069,005920,8/1/2011,Post Falls Hd,1310,Post Falls Hd,1310,,SYSTEM,2013
54627,,1.277,007540,4.8,007540,1/1/1978,Filer Hd,1020,Filer Hd,1020,,SYSTEM,2013
54628,,1.283,002731,1.465,002731,6/26/2007,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54629,,1.287,A04740,1.366,A04740,12/1/2012,Nampa,2780,Nampa,2780,,SYSTEM,2013
54630,,1.287,D04740,1.367,D04740,12/1/2012,Nampa,2780,Nampa,2780,,SYSTEM,2013
54631,,1.294,025366,1.817,025366,11/13/2013,Idaho Falls,2370,Idaho Falls,2370,,SYSTEM,2013
54632,,1.3,005220,23.55,005220,1/1/1978,Clark County,170,Clark County,170,,SYSTEM,2013
54633,,1.301,007500,1.998,007500,11/17/2008,Kellogg,2450,Kellogg,2450,,SYSTEM,2013
54634,,1.306,004780,1.449,004780,2/1/2011,Nampa,2780,Nampa,2780,,SYSTEM,2013
54635,,1.307,003630,1.84,003630,10/2/1998,Blackfoot,1650,Blackfoot,1650,,SYSTEM,2013
54636,,1.309,005770,6.784,005770,1/12/2010,Idaho County,250,Idaho County,250,,SYSTEM,2013
54637,,1.312,006620,1.604,006620,1/1/2010,Madison County,330,Madison County,330,,SYSTEM,2013
54638,,1.333,003980,1.955,003980,12/1/2010,Idaho Falls,2370,Idaho Falls,2370,,SYSTEM,2013
54639,,1.336,002850,2.427,002850,7/1/2010,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54640,,1.35,001350,2.9,001350,1/1/1978,Bannock County,30,Bannock County,30,,SYSTEM,2013
54641,,1.357,005080,17.483,005080,10/19/2007,Oakley Hd,1290,Oakley Hd,1290,,SYSTEM,2013
54642,,1.361,004740,1.586,004740,12/1/2012,Nampa,2780,Nampa,2780,,SYSTEM,2013
54643,,1.363,005400,2.316,005400,10/1/2010,Mountain Home Hd,1230,Mountain Home Hd,1230,,SYSTEM,2013
54644,,1.379,008140,4.456,008140,9/1/2004,Power County Hd,1320,Power County Hd,1320,,SYSTEM,2013
54645,,1.384,004620,1.723,004620,2/1/2011,Caldwell,1740,Caldwell,1740,,SYSTEM,2013
54646,,1.386,004130,1.463,004130,12/1/2010,Idaho Falls,2370,Idaho Falls,2370,,SYSTEM,2013
54647,,1.405,002162,1.786,002162,3/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54648,,1.405,007170,26.427,007170,1/1/2009,Oneida County,360,Oneida County,360,,SYSTEM,2013
54649,,1.41,007360,2.163,007360,10/15/2010,Payette County,380,Payette County,380,,SYSTEM,2013
54650,,1.417,002734,1.468,002734,9/1/2009,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54651,,1.433,004557,1.74,004557,2/1/2011,Nampa Hd #1,1250,Nampa Hd #1,1250,,SYSTEM,2013
54652,,1.435,005550,3.928,005550,1/1/2010,Madison County,330,Madison County,330,,SYSTEM,2013
54653,,1.437,005440,1.789,005440,11/1/2010,Mountain Home,2730,Mountain Home,2730,,SYSTEM,2013
54654,,1.44,007490,2.034,007490,7/31/1981,Pinehurst,2970,Pinehurst,2970,,SYSTEM,2013
54655,,1.443,000107,1.702,000107,9/1/2004,Rupert,3150,Rupert,3150,,SYSTEM,2013
54656,,1.45,005860,1.747,005860,6/20/2008,Murtaugh,2770,Murtaugh,2770,,SYSTEM,2013
54657,,1.45,006060,1.995,006060,9/1/2010,Post Falls Hd,1310,Post Falls Hd,1310,,SYSTEM,2013
54658,,1.452,005530,4.955,005530,6/21/2001,Fremont County,220,Fremont County,220,,SYSTEM,2013
54659,,1.463,004130,1.805,004130,12/1/2010,Bonneville County,100,Bonneville County,100,,SYSTEM,2013
54660,,1.465,004760,1.696,004760,12/23/1991,Nampa,2780,Nampa,2780,,SYSTEM,2013
54661,,1.465,006390,1.503,006390,1/1/2010,North Latah Hd,1270,North Latah Hd,1270,,SYSTEM,2013
54662,,1.468,002734,2.136,002734,6/26/2007,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54663,,1.478,004140,8.275,004140,6/23/1999,Bonneville County,100,Bonneville County,100,,SYSTEM,2013
54664,,1.48,007550,1.685,007550,4/22/1982,Buhl Hd,870,Buhl Hd,870,,SYSTEM,2013
54665,,1.483,003090,1.525,003090,12/1/2010,Bannock County,30,Bannock County,30,,SYSTEM,2013
54666,,1.49,006860,1.895,006860,1/26/2009,Lewiston,2550,Lewiston,2550,,SYSTEM,2013
54667,,1.494,007710,1.964,007710,10/16/2006,Twinfalls Hd,1410,Twinfalls Hd,1410,,SYSTEM,2013
54668,,1.5,002156,2.406,002156,2/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54669,,1.5,002727,3,002727,4/1/1983,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54670,,1.5,004595,1.813,004595,10/1/2010,Bannock County,30,Bannock County,30,,SYSTEM,2013
54671,,1.501,004530,5.981,004530,1/1/2011,Canyon Hd #4,890,Canyon Hd #4,890,,SYSTEM,2013
54672,,1.501,004780,1.753,004780,2/1/2011,Nampa,2780,Nampa,2780,,SYSTEM,2013
54673,,1.501,007580,2.853,007580,12/16/2010,Filer,2080,Filer,2080,,SYSTEM,2013
54674,,1.501,007960,10.371,007960,12/31/1984,Bannock County,30,Bannock County,30,,SYSTEM,2013
54675,,1.502,004875,1.758,004875,1/1/2011,Canyon Hd #4,890,Canyon Hd #4,890,,SYSTEM,2013
54676,,1.509,004520,2.509,004520,1/1/2011,Caldwell,1740,Caldwell,1740,,SYSTEM,2013
54677,,1.518,004555,1.822,004555,1/1/2011,Nampa Hd #1,1250,Nampa Hd #1,1250,,SYSTEM,2013
54678,,1.52,001664,2.69,001664,11/19/1998,Shoshone County,400,Shoshone County,400,,SYSTEM,2013
54679,,1.52,004700,5.866,004700,10/7/2008,Canyon Hd #4,890,Canyon Hd #4,890,,SYSTEM,2013
54680,,1.525,003090,3.317,003090,12/1/2010,Pocatello,3000,Pocatello,3000,,SYSTEM,2013
54681,,1.525,005980,3.154,005980,9/1/2009,Post Falls,3020,Post Falls,3020,,SYSTEM,2013
54682,,1.533,006650,1.867,006650,1/1/2010,Madison County,330,Madison County,330,,SYSTEM,2013
54683,,1.55,007370,2.629,007370,6/16/1986,Payette County,380,Payette County,380,,SYSTEM,2013
54684,,1.552,006010,1.749,006010,11/6/2003,Post Falls,3020,Post Falls,3020,,SYSTEM,2013
54685,,1.554,004558,1.741,004558,1/1/2011,Nampa,2780,Nampa,2780,,SYSTEM,2013
54686,,1.564,005950,1.818,005950,9/1/2010,Post Falls Hd,1310,Post Falls Hd,1310,,SYSTEM,2013
54687,,1.57,002717,1.768,002717,6/26/2007,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54688,,1.573,000101,1.641,000101,3/1/1983,Minidoka Hd,1220,Minidoka Hd,1220,,SYSTEM,2013
54689,,1.586,004740,2.325,004740,4/20/2009,Nampa Hd #1,1250,Nampa Hd #1,1250,,SYSTEM,2013
54690,,1.601,006720,11.177,006720,1/9/2007,Nez Perce County,350,Nez Perce County,350,,SYSTEM,2013
54691,,1.604,006620,2.311,006620,1/1/2010,Rexburg,3080,Rexburg,3080,,SYSTEM,2013
54692,,1.605,002580,1.929,002580,1/1/2010,Nampa,2780,Nampa,2780,,SYSTEM,2013
54693,,1.608,007590,15.38,007590,2/16/2009,Buhl Hd,870,Buhl Hd,870,,SYSTEM,2013
54694,,1.611,004554,2.098,004554,6/26/2007,Nampa,2780,Nampa,2780,,SYSTEM,2013
54695,,1.613,003220,1.965,003220,1/1/2010,Chubbuck,1800,Chubbuck,1800,,SYSTEM,2013
54696,,1.615,004527,3.223,004527,1/1/2011,Caldwell,1740,Caldwell,1740,,SYSTEM,2013
54697,,1.621,002550,1.645,002550,8/22/2006,Nampa Hd #1,1250,Nampa Hd #1,1250,,SYSTEM,2013
54698,,1.622,007110,2.008,007110,1/1/1978,Nez Perce County,350,Nez Perce County,350,,SYSTEM,2013
54699,,1.629,005370,11.252,005370,6/1/2011,Glenns Ferry Hd,1040,Glenns Ferry Hd,1040,,SYSTEM,2013
54700,,1.631,004920,13.703,004920,1/1/1978,Caribou County,150,Caribou County,150,,SYSTEM,2013
54701,,1.641,000101,1.709,000101,3/1/1983,Rupert,3150,Minidoka Hd,1220,,SYSTEM,2013
54702,,1.645,002550,1.908,002550,2/1/2011,Nampa,2780,Nampa,2780,,SYSTEM,2013
54703,,1.672,005155,1.907,005155,7/1/2010,Burley Hd,880,Burley Hd,880,,SYSTEM,2013
54704,,1.685,007550,2.035,007550,4/22/1982,Buhl,1710,Buhl,1710,,SYSTEM,2013
54705,,1.69,004523,2.557,004523,1/1/2011,Caldwell,1740,Caldwell,1740,,SYSTEM,2013
54706,,1.699,007330,2.811,007330,10/15/2010,Payette County,380,Payette County,380,,SYSTEM,2013
54707,,1.7,007010,2.159,007010,10/4/2013,Nez Perce County,350,Nez Perce County,350,,SYSTEM,2013
54708,,1.702,000107,2.187,000107,9/1/2004,Minidoka Hd,1220,Minidoka Hd,1220,,SYSTEM,2013
54709,,1.709,000101,1.743,000101,3/1/1983,Rupert,3150,Rupert,3150,,SYSTEM,2013
54710,,1.74,004557,1.989,004557,2/1/2011,Nampa,2780,Nampa,2780,,SYSTEM,2013
54711,,1.741,004558,1.764,004558,1/1/2011,Nampa Hd #1,1250,Nampa Hd #1,1250,,SYSTEM,2013
54712,,1.743,000101,1.868,000101,3/1/1983,Rupert,3150,Minidoka Hd,1220,,SYSTEM,2013
54713,,1.747,005860,2.731,005860,6/20/2008,Murtaugh Hd,1240,Murtaugh Hd,1240,,SYSTEM,2013
54714,,1.749,006010,2.822,006010,1/1/2010,Post Falls,3020,Post Falls,3020,,SYSTEM,2013
54715,,1.758,004875,1.884,004875,1/1/2011,Caldwell,1740,Caldwell,1740,,SYSTEM,2013
54716,,1.77,002660,3.409,002660,10/12/2004,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54717,,1.774,006440,2.144,006440,12/31/2008,Moscow,2720,Moscow,2720,,SYSTEM,2013
54718,,1.793,002800,6.66,002800,6/21/2010,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54719,,1.793,004780,3.301,004780,2/1/2011,Nampa,2780,Nampa,2780,,SYSTEM,2013
54720,,1.797,017973,4.834,017973,9/21/1995,Murtaugh Hd,1240,Murtaugh Hd,1240,,SYSTEM,2013
54721,,1.8,016288,2.154,016288,1/1/2011,Nampa Hd #1,1250,Nampa Hd #1,1250,,SYSTEM,2013
54722,,1.802,004538,2.81,004538,1/1/2011,Caldwell,1740,Caldwell,1740,,SYSTEM,2013
54723,,1.805,004130,4.632,004130,12/1/2010,Idaho Falls,2370,Idaho Falls,2370,,SYSTEM,2013
54724,,1.817,025366,2.816,025366,11/13/2013,Bonneville County,100,Bonneville County,100,,SYSTEM,2013
54725,,1.818,005950,1.874,005950,9/1/2010,Post Falls,3020,Post Falls,3020,,SYSTEM,2013
54726,,1.819,003840,1.993,003840,7/1/2010,Bonner County,90,Bonner County,90,,SYSTEM,2013
54727,,1.819,006330,9.908,006330,11/9/2006,South Latah Hd,1390,South Latah Hd,1390,,SYSTEM,2013
54728,,1.822,004555,2.3,004555,1/1/2011,Nampa,2780,Nampa,2780,,SYSTEM,2013
54729,,1.868,000101,5.031,000101,4/4/1989,Minidoka Hd,1220,Minidoka Hd,1220,,SYSTEM,2013
54730,,1.874,005950,6.551,005950,9/1/2010,Post Falls Hd,1310,Post Falls Hd,1310,,SYSTEM,2013
54731,,1.884,004875,2.004,004875,1/1/2011,Canyon Hd #4,890,Canyon Hd #4,890,,SYSTEM,2013
54732,,1.895,006860,5.092,006860,5/20/2013,Nez Perce County,350,Nez Perce County,350,,SYSTEM,2013
54733,,1.896,007840,25.714,007840,4/14/2009,Valley County,430,Valley County,430,,SYSTEM,2013
54734,,1.907,005155,2.101,005155,7/1/2010,Burley,1720,Burley,1720,,SYSTEM,2013
54735,,1.908,002550,1.956,002550,2/1/2011,Nampa,2780,Nampa,2780,,SYSTEM,2013
54736,,1.912,002759,2.397,002759,3/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54737,,1.925,007820,57.922,007820,6/17/2009,Valley County,430,Valley County,430,,SYSTEM,2013
54738,,1.929,002580,2.749,002580,1/1/2010,Nampa Hd #1,1250,Nampa Hd #1,1250,,SYSTEM,2013
54739,,1.93,001380,2.323,001380,12/13/2006,Bonneville County,100,Bonneville County,100,,SYSTEM,2013
54740,,1.94,002605,3,002605,4/28/2009,Nampa Hd #1,1250,Nampa Hd #1,1250,,SYSTEM,2013
54741,,1.955,003980,2.322,003980,12/1/2010,Bonneville County,100,Bonneville County,100,,SYSTEM,2013
54742,,1.964,007710,2.481,007710,10/16/2006,"Twin Falls, City of",3370,"Twin Falls, City of",3370,,SYSTEM,2013
54743,,1.97,005911,4.715,005911,9/19/2008,Post Falls Hd,1310,Post Falls Hd,1310,,SYSTEM,2013
54744,,1.97,008130,2.98,008130,1/1/1978,Fort Hall Indian Res,600,Fort Hall Indian Res,600,,SYSTEM,2013
54745,,1.976,000104,2.043,000104,9/1/2004,Minidoka Hd,1220,Minidoka Hd,1220,,SYSTEM,2013
54746,,1.983,006402,3.542,006402,1/1/2010,Moscow,2720,Moscow,2720,,SYSTEM,2013
54747,,1.989,004557,3.432,004557,2/1/2011,Nampa Hd #1,1250,Nampa Hd #1,1250,,SYSTEM,2013
54748,,1.993,003840,2.393,003840,7/1/2010,Dover,1958,Dover,1958,,SYSTEM,2013
54749,,1.994,007650,7.97,007650,11/1/2010,Twinfalls Hd,1410,Twinfalls Hd,1410,,SYSTEM,2013
54750,,1.995,006060,2.089,006060,9/1/2010,Coeur D'Alene,1840,Coeur D'Alene,1840,,SYSTEM,2013
54751,,2,000110,2.5,000110,3/1/1983,Rupert,3150,Rupert,3150,,SYSTEM,2013
54752,,2,000111,2.216,000111,3/10/1997,Rupert,3150,Rupert,3150,,SYSTEM,2013
54753,,2,002134,3.567,002134,2/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
54754,,2,002135,2.225,002135,2/1/2011,Ada County Hd,840,Ada County Hd,840,,SYSTEM,2013
